@relation 'MyTomcat-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.LinearForwardSelection -D 0 -N 5 -I -K 200 -T 0-weka.filters.unsupervised.attribute.Remove-R1'

@attribute cumulative_bug_count numeric
@attribute change_log_length numeric
@attribute changed_LOC numeric
@attribute CountDeclmethodName_delta numeric
@attribute CountDeclClassVariable_delta numeric
@attribute AvgLineCode_delta numeric
@attribute CountDeclmethodNameProtected_delta numeric
@attribute CountLine_delta numeric
@attribute CountStmt_delta numeric
@attribute CountLineComment_delta numeric
@attribute CountLineBlank_delta numeric
@attribute CountLineCodeExe_delta numeric
@attribute CountStmtExe_delta numeric
@attribute CountLineCode_delta numeric
@attribute s26 numeric
@attribute s29 numeric
@attribute s128 numeric
@attribute s249 numeric
@attribute s289 numeric
@attribute s321 numeric
@attribute s442 numeric
@attribute s498 numeric
@attribute s615 numeric
@attribute s641 numeric
@attribute s777 numeric
@attribute s862 numeric
@attribute s867 numeric
@attribute s981 numeric
@attribute s1097 numeric
@attribute s1133 numeric
@attribute s1197 numeric
@attribute s1201 numeric
@attribute s1375 numeric
@attribute s1659 numeric
@attribute s1941 numeric
@attribute s1951 numeric
@attribute s2233 numeric
@attribute s2603 numeric
@attribute s2698 numeric
@attribute s2987 numeric
@attribute s3139 numeric
@attribute s3158 numeric
@attribute s3586 numeric
@attribute s3761 numeric
@attribute s3821 numeric
@attribute s6023 numeric
@attribute s7477 numeric
@attribute bug_introducing {0,1}

@data
34,183,3,0,0,0,0,-1,0,0,0,-1,0,-1,1,1,3,49,3,28,0,0,0,2,1,1,0,0,0,0,0,0,8,0,29,28,4,0,0,0,0,0,0,0,0,0,0,0
34,178,2,0,0,0,0,0,0,0,0,0,0,0,1,1,3,48,3,28,0,0,0,2,1,1,0,0,0,0,0,0,8,0,29,28,4,0,0,0,0,0,0,0,0,0,0,0
34,372,3,0,0,0,0,3,1,1,0,1,1,2,1,1,13,48,3,28,0,0,0,2,1,1,0,0,0,0,0,0,8,0,29,28,4,0,0,0,0,0,0,0,0,0,0,0
1,372,7,1,0,1,0,5,3,0,3,0,0,2,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,372,204,28,0,3,0,202,102,21,52,56,43,130,0,1,1,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1
2,372,39,4,0,0,0,13,4,17,-7,0,0,3,0,1,11,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
3,372,74,4,0,0,0,74,35,20,6,27,25,48,0,1,11,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,372,16,0,0,0,0,14,3,1,6,7,3,7,0,1,11,7,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,372,19,1,0,2,0,17,14,0,2,8,5,15,0,1,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,372,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,372,9,2,0,-6,0,7,10,1,-1,3,5,7,0,1,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1,420,18,1,0,0,0,11,8,2,1,6,6,9,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
1,148,2,0,0,0,0,0,0,0,1,0,0,-1,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
5,236,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3,27,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,11,1,1,0,0,0,0,0,0
9,236,2,0,0,0,0,0,0,0,0,0,0,0,1,1,2,45,0,14,0,0,0,0,2,0,0,0,0,4,3,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0
1,167,17,5,0,0,0,16,10,1,1,5,5,14,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
3,167,37,0,0,0,0,25,18,1,3,14,11,21,0,1,1,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,252,2,0,0,0,0,0,0,0,0,0,0,0,2,1,3,46,0,14,0,0,0,0,2,0,0,0,0,4,3,0,0,0,3,0,0,1,0,3,0,0,1,0,0,0,0,1
3,156,2,0,0,0,0,2,0,0,2,0,0,0,0,1,1,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,274,38,0,0,0,0,34,21,7,3,20,17,24,2,1,3,46,0,14,0,0,0,0,2,0,0,0,0,4,3,0,0,0,3,0,0,1,0,3,0,0,1,0,0,0,0,1
8,274,9,2,0,0,0,9,4,0,3,2,2,6,0,1,2,3,0,2,0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,274,101,6,0,0,2,77,43,9,13,31,23,53,1,1,3,52,3,28,0,0,0,2,1,1,0,0,0,0,0,0,8,0,53,28,4,0,0,0,0,0,0,0,0,0,0,1
35,186,6,0,0,0,0,4,4,0,0,4,4,4,1,1,3,50,3,28,0,0,0,2,1,1,0,0,0,0,0,0,8,0,39,28,4,0,0,0,0,0,0,0,0,0,0,0
13,313,5,0,0,0,0,1,0,1,0,0,-1,0,22,1,3,46,0,14,0,0,0,0,2,0,0,0,0,4,3,0,0,0,3,0,0,1,0,3,0,0,1,0,0,0,0,1
36,313,16,0,0,0,-1,6,7,0,0,6,7,6,21,1,3,54,3,28,0,0,0,2,1,1,0,0,0,0,0,0,8,0,49,28,4,0,0,0,0,0,0,0,0,0,0,1
37,186,36,0,0,0,0,32,27,2,2,26,20,28,1,1,3,56,3,28,0,0,0,2,1,1,0,0,0,0,0,0,8,0,45,36,4,0,0,0,0,0,0,0,0,0,0,1
37,164,2,0,0,0,0,-1,-1,-1,1,-1,-1,-1,1,1,3,54,3,28,0,0,0,2,1,1,0,0,0,0,0,0,8,0,43,32,4,0,0,0,0,0,0,0,0,0,0,0
38,150,15,0,0,0,0,7,7,1,-3,9,7,10,1,1,3,53,3,28,0,0,0,2,1,1,0,0,0,0,0,0,8,0,43,32,4,0,0,0,0,0,0,0,0,0,0,1
5,150,2,0,0,0,0,-1,2,0,-1,1,2,0,3,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
1,206,4,0,0,4,0,4,3,0,0,4,2,4,0,1,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
3,148,2,0,0,0,0,0,0,0,0,0,0,0,1,1,3,26,0,2,2,0,0,2,2,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,3,0,2,0,0,0
8,323,17,3,0,0,0,13,7,0,3,4,4,10,0,1,12,13,0,2,0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,323,150,8,1,1,3,114,68,16,5,72,55,95,1,1,13,153,3,28,0,0,0,2,1,1,0,0,0,0,0,0,8,0,43,32,6,0,0,0,0,0,0,0,0,0,0,1
2,317,64,1,0,-1,1,-4,-8,8,1,-10,-8,-13,0,1,2,3,0,0,0,0,0,0,2,0,0,0,0,2,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
3,223,13,0,0,0,0,13,6,0,3,7,6,10,1,1,2,41,0,0,7,0,0,1,5,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,240,12,0,0,0,0,12,6,0,0,9,6,12,1,1,2,43,0,12,0,0,0,0,2,0,0,0,0,4,3,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0
11,177,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,26,1,10,38,0,0,1,1,0,0,1,0,1,0,0,35,0,0,0,0,1,0,0,0,1,2,0,1,0,0,0
2,151,3,0,1,0,0,1,1,0,0,1,0,1,0,1,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0
4,305,22,2,0,0,0,20,13,2,4,6,6,14,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,305,31,2,0,0,0,15,8,0,3,8,4,12,0,1,2,15,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,305,9,2,0,-1,3,5,4,0,-1,2,2,6,0,1,2,13,0,0,95,0,0,0,2,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
5,114,60,7,0,0,1,48,42,-1,3,25,24,46,0,1,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1
6,114,43,2,2,0,1,12,9,0,1,8,4,11,0,1,2,14,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
2,114,4,1,0,-2,1,3,2,0,1,1,1,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,114,8,1,0,0,1,3,2,0,1,1,1,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,183,2,0,0,0,0,2,2,0,0,2,2,2,0,1,1,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,183,3,0,0,0,0,3,2,0,1,2,2,2,1,1,3,53,3,28,0,0,0,2,1,1,0,0,0,0,0,0,8,0,43,32,5,0,0,0,0,0,0,0,0,0,0,1
4,138,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,140,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,485,5,0,0,0,0,5,4,0,1,4,4,4,0,1,1,40,0,13,0,0,0,0,1,0,0,0,0,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,154,13,1,0,0,0,10,6,0,1,3,4,9,4,1,9,70,4,0,24,0,0,0,6,0,0,0,0,2,5,0,2,0,0,0,0,0,0,1,0,0,0,0,5,0,0,1
3,154,4,0,0,0,0,2,2,0,0,1,1,2,0,1,1,5,1,0,5,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0,0,0
3,154,39,0,0,0,0,6,3,0,2,3,2,4,3,1,10,38,1,0,0,0,0,0,1,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,142,17,0,0,0,0,16,0,16,1,0,0,-1,0,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2,151,14,0,0,0,0,0,-1,0,1,-1,0,-1,0,1,1,7,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,254,8,-2,0,0,0,-8,-5,-3,-2,-3,-2,-3,0,1,3,36,0,18,2,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,254,28,0,0,-1,0,-26,-11,-4,-4,-14,-9,-18,0,1,3,27,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,11,1,1,0,0,0,0,0,0
9,254,11,-2,0,0,0,-11,-5,0,-4,-3,-3,-7,0,1,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,254,17,0,0,0,0,-13,-8,0,-1,-10,-6,-12,1,1,2,45,0,14,0,0,0,0,2,0,0,0,0,4,3,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0
9,254,9,-2,0,0,0,-9,-5,0,-2,-3,-3,-7,0,1,1,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,254,52,0,0,-2,0,-50,-24,-6,-3,-32,-21,-41,1,1,3,26,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,318,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,16,0,6,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
3,318,9,0,0,1,0,5,2,1,0,3,2,4,0,1,2,8,0,0,6,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,318,9,0,0,0,0,3,3,0,0,3,2,3,1,1,1,10,0,0,0,0,0,1,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1
7,175,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,400,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
4,252,8,0,0,1,0,8,5,2,0,5,5,6,1,1,1,16,0,6,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
2,165,12,0,0,0,0,2,0,2,0,0,0,0,0,1,4,0,2,0,0,0,0,0,1,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
15,268,9,0,0,0,0,9,6,0,1,6,6,8,0,1,3,38,0,18,2,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15,268,3,0,0,0,0,-3,-2,0,0,-2,-2,-3,0,1,3,37,0,18,2,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4,278,14,0,0,1,0,14,6,4,0,8,6,10,1,1,1,20,0,6,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
3,201,38,0,0,-1,0,-18,-13,-1,0,-14,-9,-17,0,1,1,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
1,201,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,131,38,0,0,1,0,18,13,1,0,14,9,17,0,1,1,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1
1,186,147,5,2,10,0,147,50,56,23,36,22,68,0,1,2,2,0,0,0,0,0,4,2,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
1,186,369,3,0,78,0,369,215,51,49,193,118,269,0,1,2,18,0,0,0,0,0,0,2,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,10,0,2,4,1
32,186,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,185,15,0,0,-12,0,-13,-11,0,-1,-11,-9,-12,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0
3,228,1,0,0,0,0,1,1,0,0,1,1,1,0,1,22,40,0,1,198,0,0,0,2,0,0,0,0,4,1,0,17,0,0,0,0,7,0,0,0,0,6,0,3,0,0,1
4,210,6,0,0,0,0,4,4,0,0,4,4,4,1,1,1,18,0,6,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
1,210,7,2,0,0,0,7,5,0,0,2,2,7,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,258,8,0,0,0,0,4,3,0,1,2,3,3,1,1,3,53,3,28,0,0,0,2,1,1,0,0,0,0,0,0,8,0,45,32,5,0,0,0,0,0,0,0,0,0,0,1
5,258,40,2,0,-1,0,25,10,19,1,6,8,9,8,1,4,4,0,0,0,0,0,0,1,22,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
7,232,11,0,0,0,0,3,2,0,1,2,1,2,0,2,1,17,0,0,0,0,0,0,1,0,0,0,0,2,1,0,11,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1
41,180,2,0,0,0,0,1,0,0,1,0,0,0,1,1,3,55,3,28,0,0,0,2,1,1,0,0,0,0,0,0,8,0,43,32,5,0,0,0,0,0,0,0,0,0,0,0
2,178,5,0,0,1,0,4,3,-1,1,4,2,4,0,1,1,9,0,0,1,0,0,0,1,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,5,0,1,2,1
3,178,34,0,0,1,0,34,17,0,2,26,16,32,0,1,1,45,0,0,15,0,0,0,2,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,210,1,0,0,0,0,0,-1,0,1,-1,-1,-1,2,1,3,46,0,14,0,0,0,0,2,0,0,0,0,4,3,0,0,0,3,0,0,1,0,3,0,0,1,0,0,0,0,0
1,228,12,0,0,-1,0,-12,-7,-1,-1,-7,-4,-10,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,334,9,0,0,0,0,-1,-2,2,-1,-2,-1,-2,2,1,3,46,0,14,0,0,0,0,2,0,0,0,0,4,3,0,0,0,3,0,0,1,0,3,0,0,1,0,0,0,0,1
9,334,98,7,0,0,0,68,51,2,8,42,34,59,0,1,2,7,0,2,0,0,0,0,2,0,0,0,0,0,0,0,3,3,0,14,14,0,0,0,0,0,0,0,0,0,0,1
42,334,67,0,0,0,0,-5,-10,2,0,-4,-11,-6,1,1,3,57,3,34,0,0,0,2,1,1,0,0,0,0,0,0,8,0,45,34,5,0,0,0,0,0,0,0,0,0,0,1
1,334,11,2,0,0,0,11,6,0,3,2,2,8,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,267,8,0,0,0,0,8,3,1,1,4,3,6,12,1,3,48,0,14,0,0,0,0,2,0,0,0,0,4,3,0,0,0,2,0,0,1,0,3,0,0,1,0,0,0,0,1
8,261,2,0,0,0,0,0,0,0,0,0,0,0,3,1,1,8,0,7,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0
9,175,2,0,0,0,0,0,0,0,0,0,0,0,13,1,1,8,0,7,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1
42,182,2,0,0,0,0,0,1,0,0,0,1,0,1,1,3,55,3,30,0,0,0,2,1,1,0,0,0,0,0,0,8,0,42,32,5,0,0,0,0,0,0,0,0,0,0,0
9,194,2,0,0,0,0,4,3,1,2,2,2,2,3,1,1,8,0,7,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0
10,222,4,0,0,0,0,0,0,0,0,0,0,0,3,1,1,8,0,7,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1
43,197,46,0,0,0,0,6,7,-1,1,5,6,6,1,1,3,55,3,34,0,0,0,2,1,1,0,0,0,0,0,0,8,0,46,36,5,0,0,0,0,0,0,0,0,0,0,1
43,174,15,-1,0,0,0,-3,-2,0,0,-1,-1,-3,1,1,3,54,3,29,0,0,0,2,1,1,0,0,0,0,0,0,8,0,44,31,5,0,0,0,0,0,0,0,0,0,0,0
3,230,39,3,0,-1,2,26,19,3,4,13,14,21,1,1,1,11,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1
1,230,179,13,3,6,2,179,90,34,30,70,52,119,0,1,2,6,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,1
44,194,13,0,0,0,0,10,6,5,1,3,6,3,1,1,3,54,3,27,0,0,0,2,1,1,0,0,0,0,0,0,8,0,44,39,5,0,0,0,0,0,0,0,0,0,0,1
1,194,13,0,0,0,0,6,6,5,0,1,6,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
45,148,5,0,0,0,0,3,2,1,0,3,2,3,1,1,3,55,3,27,0,0,0,2,1,1,0,0,0,0,0,0,8,0,44,34,5,0,0,0,0,0,0,0,0,0,0,1
8,148,2,0,0,0,0,-1,0,0,0,0,0,-1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1
15,247,7,0,0,0,0,5,3,3,-1,3,3,3,2,1,15,47,0,14,0,0,0,0,2,0,0,0,0,4,3,0,0,0,2,0,0,1,0,3,0,0,1,0,0,0,0,0
15,159,2,0,0,0,0,3,1,0,1,1,1,2,2,1,4,47,0,14,0,0,0,0,2,0,0,0,0,4,3,0,0,0,2,0,0,1,0,3,0,0,1,0,0,0,0,0
15,157,16,0,0,0,0,0,-4,5,0,-4,-4,-5,2,1,6,47,0,14,0,0,0,0,2,0,0,0,0,4,3,0,0,0,2,0,0,1,0,3,0,0,1,0,0,0,0,0
46,157,19,-2,0,0,-2,-9,-4,-3,-1,-1,-2,-5,1,1,3,54,3,27,0,0,0,2,1,1,0,0,0,0,0,0,8,0,44,34,5,0,0,0,0,0,0,0,0,0,0,1
16,185,16,0,0,0,0,0,4,-5,0,4,4,5,2,1,6,47,0,14,0,0,0,0,2,0,0,0,0,4,3,0,0,0,2,0,0,1,0,3,0,0,1,0,0,0,0,1
16,198,9,0,0,0,0,-7,-4,-3,1,-4,-4,-5,2,1,4,47,0,14,0,0,0,0,2,0,0,0,0,4,3,0,0,0,2,0,0,1,0,3,0,0,1,0,0,0,0,0
47,198,24,2,0,0,2,6,2,2,1,-2,0,2,1,1,3,54,3,29,0,0,0,2,1,1,0,0,0,0,0,0,8,0,44,34,5,0,0,0,0,0,0,0,0,0,0,1
8,198,2,0,0,0,0,-1,0,0,0,0,0,-1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
48,177,58,0,0,-1,0,-38,-24,-2,-3,-27,-18,-33,1,1,3,55,3,31,0,0,0,2,1,1,0,0,0,0,0,0,8,0,44,38,7,0,0,0,0,0,0,0,0,0,0,1
