@relation 'MyJedit-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.LinearForwardSelection -D 0 -N 5 -I -K 200 -T 0-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.LinearForwardSelection -D 0 -N 5 -I -K 60 -T 0-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.LinearForwardSelection -D 0 -N 5 -I -K 60 -T 0'

@attribute cumulative_bug_count numeric
@attribute change_log_length numeric
@attribute changed_LOC numeric
@attribute AvgLine numeric
@attribute RatioCommentToCode numeric
@attribute CountLineCodeExe_delta numeric
@attribute AvgLine_delta numeric
@attribute CountDeclInstanceVariable_delta numeric
@attribute CountStmtExe_delta numeric
@attribute CountLineComment_delta numeric
@attribute CountDeclInstancemethodName_delta numeric
@attribute CountDeclmethodName_delta numeric
@attribute CountLineBlank_delta numeric
@attribute SumEssential_delta numeric
@attribute SumCyclomaticStrict_delta numeric
@attribute AvgLineBlank_delta numeric
@attribute s13 numeric
@attribute s29 numeric
@attribute s70 numeric
@attribute s91 numeric
@attribute s98 numeric
@attribute s139 numeric
@attribute s145 numeric
@attribute s200 numeric
@attribute s219 numeric
@attribute s259 numeric
@attribute s262 numeric
@attribute s263 numeric
@attribute s264 numeric
@attribute s266 numeric
@attribute s269 numeric
@attribute s334 numeric
@attribute s390 numeric
@attribute s639 numeric
@attribute s701 numeric
@attribute s788 numeric
@attribute s859 numeric
@attribute s909 numeric
@attribute s910 numeric
@attribute s1092 numeric
@attribute s1520 numeric
@attribute s1736 numeric
@attribute s2159 numeric
@attribute s2473 numeric
@attribute s2752 numeric
@attribute s3313 numeric
@attribute s3871 numeric
@attribute s4914 numeric
@attribute s5303 numeric
@attribute s6036 numeric
@attribute s6336 numeric
@attribute s6363 numeric
@attribute s6569 numeric
@attribute s6949 numeric
@attribute s7559 numeric
@attribute s9135 numeric
@attribute s9227 numeric
@attribute s9439 numeric
@attribute s11467 numeric
@attribute bug_introducing {0,1}

@data
10,176,41,19,0.4,-15,-2,0,-11,-3,0,0,-5,0,-9,0,1,24,0,0,0,4,0,0,0,1,0,0,1,0,0,20,0,0,0,0,1,8,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
24,176,6,21,0.4,3,1,0,2,0,0,0,1,2,2,0,1,23,0,0,0,1,1,0,0,1,0,0,0,0,0,21,0,0,0,0,2,9,1,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,176,27,72,0.43,9,3,0,0,0,0,0,0,0,0,0,1,28,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,176,24,53,0.3,8,3,0,0,0,0,0,0,0,0,0,1,23,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,136,81,19,0.59,9,0,0,4,10,1,1,2,0,2,0,1,81,0,0,0,17,0,0,0,6,0,0,1,0,0,142,0,3,0,0,2,53,1,0,1,0,33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,136,15,37,0.28,5,1,0,0,4,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,3,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,136,3,23,0.35,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,136,6,10,0.57,0,0,0,0,1,0,0,0,0,0,0,1,37,0,0,0,2,2,0,0,4,0,0,2,0,0,58,0,0,0,0,2,0,1,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,136,1,66,0.27,-1,0,0,0,0,0,0,0,0,0,0,1,18,0,0,1,1,0,0,1,1,0,0,1,0,0,18,0,0,0,0,2,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,136,10,11,0.24,-2,1,0,-1,3,0,0,1,0,-1,0,1,17,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,1,3,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1
48,136,5,16,0.25,0,0,0,0,0,0,0,-1,0,0,0,1,42,0,0,0,6,0,0,0,2,0,0,0,0,0,37,0,0,0,0,2,5,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,142,2,10,0.57,1,0,0,1,0,0,0,1,0,0,0,1,37,0,0,0,2,2,0,0,4,0,0,1,0,0,58,0,0,0,0,2,0,1,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,138,11,16,0.25,4,0,0,3,0,0,0,1,0,1,0,1,42,0,0,0,6,0,0,0,2,0,0,0,0,0,37,0,0,0,0,2,5,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,174,4,19,0.59,-1,0,0,-1,0,0,0,-1,0,2,0,1,77,0,0,0,17,0,0,0,6,0,0,1,0,0,134,0,3,0,0,2,53,1,0,1,0,33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,174,32,17,0.75,13,0,0,8,10,0,1,3,3,4,0,1,48,0,0,3,13,0,0,0,7,0,0,0,0,0,48,0,1,0,0,2,6,1,0,1,44,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,174,42,32,0.29,-26,-5,0,-11,-4,0,0,-6,-5,-10,-1,1,6,0,0,0,0,0,0,0,1,0,0,1,0,0,7,0,0,0,3,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,174,55,20,0.23,21,1,0,9,4,0,0,5,3,9,0,1,49,0,0,0,0,0,0,1,2,0,0,1,0,0,29,0,2,4,23,2,11,1,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
72,174,3,20,0.23,0,0,0,0,0,0,0,0,0,0,0,1,73,0,0,4,0,0,0,2,2,0,0,1,0,0,47,0,2,0,2,2,23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53,174,1,10,0.57,1,0,0,1,0,0,0,0,0,0,0,1,37,0,0,0,2,2,0,0,4,0,0,1,0,0,58,0,0,0,0,2,0,1,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,166,63,8,1.18,0,0,0,0,1,0,0,-2,0,0,0,1,18,0,0,0,0,0,0,0,1,0,0,1,0,0,14,0,0,0,0,1,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,166,56,19,0.58,28,0,0,21,16,2,2,2,2,8,0,1,81,0,0,8,17,0,0,0,6,0,0,1,0,0,138,0,3,0,0,2,53,1,0,1,0,33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,166,2,20,0.23,0,0,0,0,0,0,0,0,0,0,0,1,47,0,0,0,0,0,0,1,2,0,0,1,0,0,27,0,2,4,23,2,7,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,166,19,70,0.27,-4,27,0,-2,0,-3,-3,-1,-3,-3,3,1,31,0,0,0,0,0,0,0,1,0,0,1,0,0,8,0,0,0,0,2,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,166,17,19,0.24,3,0,1,3,1,0,0,0,0,0,0,1,50,0,0,0,2,2,0,0,1,0,0,1,0,0,19,0,0,2,21,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,166,40,19,0.25,-26,-2,0,-19,0,0,0,0,0,-6,0,1,40,0,0,2,1,0,0,0,1,0,0,0,0,0,27,0,0,0,0,2,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,166,8,11,0.22,3,0,0,2,-3,0,0,0,0,1,0,1,17,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,1,3,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1
166,166,4,19,0.39,1,0,0,1,0,0,0,1,0,1,0,1,86,0,0,1,691,0,0,4,5,0,0,3,0,0,224,0,8,0,0,2,70,1,0,3,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,190,98,14,0.39,34,2,2,5,5,0,3,9,3,16,0,122,30,0,0,0,1,0,0,0,1,0,0,1,0,0,52,0,0,0,0,2,0,1,0,43,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,190,2,5,0.53,0,0,0,0,0,0,0,0,0,0,0,13,4,0,0,0,1,0,0,0,1,0,0,0,0,0,27,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,190,37,36,0.25,12,4,1,9,3,-1,-1,0,4,4,0,15,11,0,0,0,3,0,0,0,3,0,0,3,0,0,24,0,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,190,137,35,0.19,70,7,1,50,6,0,0,5,7,9,0,12,17,0,0,0,4,2,0,0,2,0,0,1,0,0,9,0,0,0,0,1,2,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1
88,137,5,23,0.42,1,0,0,0,0,0,0,0,0,0,0,1,165,0,0,0,9,3,0,0,7,0,0,1,0,0,87,1,1,0,0,3,22,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,155,14,14,0.1,-5,1,0,-4,0,-1,-1,-1,-1,-3,0,1,15,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,155,4,14,0.39,0,0,0,0,0,0,0,0,0,0,0,116,16,0,0,0,1,0,0,0,1,0,0,1,0,0,36,0,0,0,0,2,0,1,0,30,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50,155,65,37,0.26,14,1,0,7,6,0,0,1,-1,4,0,15,13,0,0,0,3,0,0,0,3,0,0,3,0,0,20,0,1,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,155,5,35,0.19,1,0,0,0,0,0,0,0,0,0,0,12,17,0,0,0,4,2,0,0,2,0,0,1,0,0,9,0,0,0,0,1,3,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,155,11,5,1.07,2,-1,0,2,6,1,1,1,1,1,0,1,3,0,0,0,1,0,0,0,1,0,0,0,0,0,8,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,155,46,15,0.36,9,1,0,0,-1,0,0,0,0,8,0,118,14,0,0,0,1,0,0,0,1,0,0,1,0,0,48,0,0,0,0,2,0,1,0,46,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50,155,36,37,0.25,7,0,0,5,0,0,0,1,3,4,0,15,16,0,0,0,3,0,0,0,3,0,0,3,0,0,20,0,1,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,155,31,36,0.18,14,1,1,10,0,0,0,0,0,2,0,12,17,0,0,0,4,2,0,0,2,0,0,1,0,0,9,0,0,0,0,1,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,161,13,19,0.58,3,0,0,1,7,1,1,1,1,1,0,1,81,1,0,4,17,0,0,0,6,0,0,1,0,0,138,0,3,0,0,2,53,1,0,1,0,33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,161,81,11,0.6,1,0,0,0,29,2,3,7,2,3,1,1,21,1,0,2,0,0,0,1,3,0,0,3,0,0,50,0,1,0,0,2,4,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,161,1,24,0.23,0,0,0,0,0,0,0,0,0,0,0,1,19,1,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,161,3,66,0.27,0,0,0,0,0,0,0,0,0,0,0,1,18,1,0,1,1,0,0,1,1,0,0,1,0,0,18,0,0,0,0,2,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,161,1,10,1.03,0,0,0,0,0,0,0,0,0,0,0,1,25,1,0,1,0,0,0,0,3,0,0,1,0,0,49,0,1,0,0,2,9,1,0,0,36,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
90,161,25,23,0.42,10,0,0,4,0,0,0,3,2,2,0,1,163,1,0,0,9,3,0,0,7,0,0,1,0,0,87,1,1,0,0,3,22,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
14,176,3,20,0.24,1,1,0,1,0,0,0,0,0,1,0,1,49,0,0,0,2,2,0,0,1,0,0,1,0,0,19,0,0,2,17,2,5,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
21,132,2,11,0.6,-1,0,0,-1,0,0,0,-1,0,0,-1,1,21,0,0,2,0,0,0,1,3,0,0,2,0,0,47,0,1,0,0,2,4,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,132,2,72,0.43,0,0,0,0,0,0,0,0,0,0,0,1,28,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,148,23,21,0.24,7,-1,0,3,5,2,2,2,2,3,0,1,14,0,0,0,8,0,0,0,1,0,0,1,0,0,15,0,0,4,0,1,12,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,148,2,72,0.43,0,0,0,0,0,0,0,0,0,0,0,1,28,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,145,2,21,0.24,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,8,0,0,0,1,0,0,1,0,0,13,0,0,4,0,1,12,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
90,145,2,23,0.42,0,0,0,0,0,0,0,0,0,0,0,1,162,0,0,0,9,3,0,0,7,0,0,1,0,0,87,1,1,0,0,3,22,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
90,135,2,23,0.42,0,0,0,0,0,0,0,0,0,0,0,1,162,0,0,0,9,3,0,0,7,0,0,1,0,0,87,1,1,0,0,3,22,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
31,147,31,17,0.75,1,0,0,1,0,0,0,0,0,1,0,1,44,0,0,3,13,0,0,0,7,0,0,0,0,0,47,0,1,0,0,2,5,1,0,1,46,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,147,2,14,0.3,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,4,0,0,0,1,0,0,0,0,0,8,0,0,0,0,1,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,146,10,28,0.18,4,0,0,4,-5,0,0,1,0,2,0,1,25,0,0,0,0,0,0,0,1,0,0,1,0,0,14,0,0,0,0,2,12,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,146,11,14,0.48,1,0,0,1,7,1,1,1,1,1,0,1,13,0,0,0,12,0,0,1,1,0,0,0,0,0,49,0,2,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,146,7,19,0.38,2,0,2,2,1,0,0,2,0,0,0,1,86,0,0,1,691,0,0,4,5,0,0,3,0,0,224,0,8,0,0,2,70,1,0,3,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
48,146,20,11,0.64,3,0,0,4,5,1,1,0,1,2,0,12,14,0,0,0,141,0,0,1,6,0,0,1,0,0,64,0,12,0,0,2,2,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,146,12,14,0.4,5,0,0,4,2,1,1,1,1,2,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,159,2,11,0.57,0,0,0,0,1,0,0,1,0,0,0,1,7,0,0,0,3,2,0,0,2,0,0,1,0,0,7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,159,30,10,1.62,0,0,0,0,26,0,0,4,0,0,0,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,2,3,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,159,44,5,1.13,6,1,0,2,20,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,24,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,159,1,38,0.24,0,0,0,0,0,0,0,-1,0,0,0,1,21,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,159,2,10,0.57,-1,0,0,-1,1,0,0,0,0,0,0,1,37,0,0,0,2,2,0,0,4,0,0,1,0,0,58,0,0,0,0,2,0,1,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,159,12,7,0.24,5,0,0,4,0,1,1,2,1,2,0,1,12,0,0,0,0,0,0,0,1,0,0,0,0,0,21,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
90,159,2,23,0.42,-1,0,0,-1,1,0,0,0,0,0,0,1,162,0,0,0,9,3,0,0,7,0,0,1,0,0,87,1,1,0,0,3,22,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,159,8,32,0.14,6,1,1,6,0,0,0,1,0,1,0,1,59,0,0,0,1,0,0,1,1,0,0,1,0,0,5,0,0,3,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,159,30,37,0.13,2,-3,1,3,1,1,1,1,1,2,-1,1,67,0,0,0,0,0,0,7,1,0,0,1,0,0,8,0,0,1,14,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,159,5,19,0.39,-1,0,0,-1,1,0,0,-1,0,0,0,1,86,0,0,1,691,0,0,4,5,0,0,3,0,0,224,0,8,0,0,2,70,1,0,3,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,138,5,11,0.6,0,0,0,0,3,0,0,0,0,0,0,1,21,0,0,2,0,0,0,1,3,0,0,2,0,0,47,0,1,0,0,2,4,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,138,21,17,0.58,9,0,0,7,7,0,1,1,4,4,0,1,17,0,0,0,1,0,0,0,4,0,0,0,0,0,44,0,1,0,0,2,24,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,138,14,11,1,3,1,0,2,3,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,2,0,0,0,0,0,14,0,0,0,0,2,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
74,138,2,20,0.23,0,0,0,0,0,0,0,0,0,0,0,1,73,0,0,4,0,0,0,2,2,0,0,1,0,0,47,0,2,0,2,2,23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,138,2,7,0.24,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,1,0,0,0,0,0,20,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,138,9,16,0.57,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,2,4,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,138,2,23,0.42,0,0,0,0,0,0,0,0,0,-1,0,1,162,0,0,0,9,3,0,0,7,0,0,1,0,0,87,1,1,0,0,3,22,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
4,138,20,23,0.21,12,2,0,4,2,0,0,2,0,4,0,1,19,0,0,0,0,0,0,0,1,0,0,2,0,0,3,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,138,3,36,0.19,-1,0,0,-1,2,0,0,0,0,0,0,12,17,0,0,0,4,2,0,0,2,0,0,1,0,0,9,0,0,0,0,1,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
